Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",199.644000,-82.296000,0.000000,top
"C2","100n","C_0402_1005Metric",195.834000,-87.122000,90.000000,top
"C3","100n","C_0402_1005Metric",204.724000,-96.520000,180.000000,top
"C4","100n","C_0402_1005Metric",208.074000,-88.000000,-90.000000,top
"C5","100n","C_0402_1005Metric",199.644000,-84.328000,0.000000,top
"C6","10n","C_0402_1005Metric",195.834000,-91.948000,90.000000,top
"C7","1u","C_0402_1005Metric",195.289672,-96.186000,180.000000,top
"C8","1u","C_0402_1005Metric",195.289672,-97.826000,180.000000,top
"C9","100n","C_0402_1005Metric",200.152000,-96.520000,0.000000,top
"C10","10p","C_0402_1005Metric",194.670000,-87.956000,90.000000,top
"C11","10p","C_0402_1005Metric",194.670000,-90.270000,90.000000,top
"C12","22u","C_0805_2012Metric",210.820000,-92.964000,0.000000,top
"C13","22u","C_0805_2012Metric",215.646000,-98.806000,90.000000,top
"D1","LED","LED_0603_1608Metric",218.186000,-98.552000,-90.000000,top
"FB1","120R","L_0603_1608Metric",197.574000,-96.000000,-90.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",194.574000,-104.902000,90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",201.158000,-76.454000,-90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",214.112000,-76.454000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",218.186000,-89.154000,90.000000,top
"R1","10k","R_0402_1005Metric",190.500000,-85.344000,90.000000,top
"R2","1k5","R_0402_1005Metric",197.612000,-101.092000,180.000000,top
"R3","1k5","R_0402_1005Metric",199.898000,-101.092000,0.000000,top
"R4","1k5","R_0402_1005Metric",211.454000,-88.646000,-90.000000,top
"R5","1k","R_0402_1005Metric",218.568000,-96.012000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",187.165000,-85.344000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",202.074000,-90.500000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",210.825846,-98.854000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",192.024000,-89.746000,-90.000000,top
